raw,rawselected,best,generations,runtime
[19.666666666666668],[19.666666666666668],151.0,1,5.904939413070679
[12.333333333333334],[12.333333333333334],151.0,2,8.50974726676941
[9.333333333333334],[9.333333333333334],151.0,3,11.079237461090088
[21.0],[21.0],151.0,4,14.016407251358032
[29.0],[29.0],151.0,5,16.502055406570435
[40.0],[40.0],151.0,6,18.937040090560913
[9.333333333333334],[9.333333333333334],151.0,7,20.80591607093811
[12.666666666666666],[12.666666666666666],151.0,8,23.29058074951172
[16.0],[16.0],151.0,9,25.772135496139526
[11.333333333333334],[11.333333333333334],151.0,10,28.357707977294922
[23.666666666666668],[23.666666666666668],151.0,11,31.705496311187744
[12.333333333333334],[12.333333333333334],151.0,12,34.00513792037964
[11.666666666666666],[11.666666666666666],151.0,13,36.31416964530945
[8.666666666666666],[8.666666666666666],151.0,14,38.720669746398926
[20.666666666666668],[20.666666666666668],151.0,15,41.279573917388916
[13.0],[13.0],151.0,16,43.74337029457092
[22.0],[22.0],151.0,17,46.5947585105896
[15.0],[15.0],151.0,18,49.66539239883423
[15.0],[15.0],151.0,19,52.343453884124756
[141.0],[141.0],175.33333333333334,20,57.109787940979004
[13.0],[13.0],175.33333333333334,21,60.07304573059082
[9.333333333333334],[9.333333333333334],175.33333333333334,22,62.29546236991882
[13.0],[13.0],175.33333333333334,23,64.62067222595215
[10.0],[10.0],175.33333333333334,24,66.79852533340454
[17.666666666666668],[17.666666666666668],175.33333333333334,25,69.18420910835266
[11.666666666666666],[11.666666666666666],175.33333333333334,26,71.42960238456726
[22.333333333333332],[22.333333333333332],175.33333333333334,27,74.17233371734619
[12.0],[12.0],175.33333333333334,28,76.42188739776611
[11.0],[11.0],175.33333333333334,29,80.33905100822449
[15.666666666666666],[15.666666666666666],175.33333333333334,30,83.12637591362
[12.0],[12.0],175.33333333333334,31,85.13835263252258
[9.333333333333334],[9.333333333333334],175.33333333333334,32,88.05073761940002
[42.0],[42.0],175.33333333333334,33,90.59799194335938
[9.333333333333334],[9.333333333333334],175.33333333333334,34,93.34018588066101
[25.333333333333332],[25.333333333333332],175.33333333333334,35,96.82046437263489
[36.666666666666664],[36.666666666666664],175.33333333333334,36,99.45220589637756
[11.666666666666666],[11.666666666666666],175.33333333333334,37,101.71979784965515
[15.666666666666666],[15.666666666666666],175.33333333333334,38,104.25215768814087
[9.666666666666666],[9.666666666666666],175.33333333333334,39,106.86945176124573
[11.0],[11.0],175.33333333333334,40,109.47672772407532
[11.666666666666666],[11.666666666666666],175.33333333333334,41,111.7056200504303
[21.666666666666668],[21.666666666666668],175.33333333333334,42,114.39763855934143
[11.333333333333334],[11.333333333333334],175.33333333333334,43,116.82425928115845
[12.666666666666666],[12.666666666666666],175.33333333333334,44,119.18311619758606
[29.666666666666668],[29.666666666666668],175.33333333333334,45,122.21450209617615
[11.333333333333334],[11.333333333333334],175.33333333333334,46,124.57690382003784
[9.0],[9.0],175.33333333333334,47,127.44626951217651
[11.666666666666666],[11.666666666666666],175.33333333333334,48,130.45404767990112
[10.0],[10.0],175.33333333333334,49,133.00899505615234
[9.333333333333334],[9.333333333333334],175.33333333333334,50,136.16626954078674
[10.0],[10.0],175.33333333333334,51,138.88904523849487
[14.666666666666666],[14.666666666666666],175.33333333333334,52,142.67919850349426
[10.333333333333334],[10.333333333333334],175.33333333333334,53,145.92734003067017
[13.0],[13.0],175.33333333333334,54,148.31547665596008
[43.333333333333336],[43.333333333333336],175.33333333333334,55,150.54620003700256
