best,generations,runtime
0.4509999999999999,1,45.43733072280884
0.58,2,94.2030348777771
0.58,3,141.48695707321167
0.58,4,186.1156096458435
0.646,5,230.4607310295105
0.646,6,276.1552276611328
0.646,7,321.84103894233704
0.646,8,367.8241858482361
0.646,9,412.47832226753235
0.646,10,456.2692391872406
0.646,11,501.25402450561523
0.646,12,548.3290746212006
0.6849999999999999,13,593.2724976539612
0.6849999999999999,14,638.2112820148468
0.6849999999999999,15,683.857232093811
0.6849999999999999,16,730.871814250946
0.691,17,776.4142439365387
0.691,18,818.6276156902313
0.691,19,863.9074943065643
0.691,20,910.4103643894196
0.691,21,953.8996984958649
0.691,22,998.9017136096954
0.691,23,1044.2672708034515
0.691,24,1091.5106194019318
0.706,25,1137.1748666763306
0.706,26,1184.5326578617096
0.706,27,1230.9843475818634
0.706,28,1278.5464487075806
0.706,29,1323.096673488617
0.706,30,1370.071433544159
0.706,31,1416.7598524093628
0.706,32,1462.3776805400848
0.706,33,1507.920865535736
0.823,34,1552.6359648704529
0.823,35,1598.4004004001617
0.823,36,1642.5829436779022
0.823,37,1689.787008523941
0.823,38,1735.4933094978333
0.823,39,1782.0179386138916
0.823,40,1829.519697189331
0.823,41,1874.1454212665558
0.823,42,1919.5570814609528
0.823,43,1965.0692477226257
0.823,44,2010.0860006809235
0.823,45,2055.392760038376
0.823,46,2101.9467494487762
0.823,47,2145.401661634445
0.823,48,2191.6830716133118
0.823,49,2237.997323513031
0.823,50,2281.3974180221558
0.823,51,2322.9317133426666
0.823,52,2368.266879796982
0.823,53,2413.644261598587
0.823,54,2458.0116863250732
0.823,55,2503.7234830856323
0.823,56,2547.3801922798157
0.823,57,2593.4074358940125
0.823,58,2641.5998861789703
0.823,59,2687.0264177322388
0.823,60,2731.0287177562714
0.823,61,2778.40327000618
0.823,62,2823.364184617996
0.823,63,2867.1823880672455
0.823,64,2912.250703573227
0.823,65,2957.1327426433563
0.823,66,3004.460524559021
0.823,67,3050.4416286945343
0.823,68,3095.2860622406006
0.823,69,3141.0139281749725
0.823,70,3187.903215408325
0.823,71,3233.9568150043488
0.823,72,3279.1192650794983
0.823,73,3325.7891075611115
0.823,74,3370.3413383960724
0.823,75,3417.163771867752
0.823,76,3460.855320930481
0.823,77,3506.9285900592804
0.823,78,3552.1900811195374
0.823,79,3594.8488159179688
0.823,80,3640.36878490448
0.823,81,3687.966717004776
0.823,82,3734.0902650356293
0.823,83,3780.855368375778
0.823,84,3827.173670768738
0.823,85,3872.234094619751
0.823,86,3918.4550573825836
0.823,87,3963.4514524936676
0.823,88,4009.3214893341064
0.823,89,4054.299979686737
0.823,90,4099.731385707855
0.823,91,4143.408463716507
0.823,92,4189.12041759491
0.823,93,4235.427033424377
0.823,94,4281.148421525955
0.823,95,4326.481363534927
0.823,96,4370.6060264110565
0.823,97,4416.046807527542
0.823,98,4458.6894381046295
0.823,99,4502.864481449127
0.823,100,4548.945414066315
0.823,101,4593.711899995804
0.823,102,4639.104095697403
0.823,103,4685.684255838394
0.823,104,4730.814257144928
0.823,105,4773.045852422714
0.823,106,4817.300388813019
0.823,107,4859.78653049469
0.823,108,4904.557749986649
0.823,109,4949.265286207199
0.823,110,4995.4041056633
0.823,111,5042.197740077972
0.823,112,5088.772571563721
0.823,113,5136.127082109451
0.823,114,5179.38548541069
0.823,115,5223.783385276794
0.823,116,5271.3399868011475
0.823,117,5313.909627914429
0.823,118,5360.6161296367645
0.823,119,5404.305580854416
0.823,120,5448.800045490265
0.823,121,5492.6206204891205
0.823,122,5537.399164676666
0.823,123,5582.901265621185
0.823,124,5629.513124465942
0.823,125,5675.904755353928
0.823,126,5720.923247337341
0.823,127,5765.145931959152
0.823,128,5810.577741384506
0.823,129,5854.832482099533
0.823,130,5900.019988536835
0.823,131,5946.060940504074
0.823,132,5991.688655614853
0.823,133,6036.603961467743
0.823,134,6081.464462041855
0.823,135,6128.60879945755
0.823,136,6174.151214599609
0.823,137,6217.720857381821
0.823,138,6261.841463565826
0.823,139,6307.24557185173
0.823,140,6352.933547496796
0.823,141,6398.9951713085175
0.823,142,6442.1889798641205
0.823,143,6487.8780169487
0.823,144,6530.3039355278015
0.823,145,6575.29412484169
0.823,146,6620.173917293549
0.823,147,6665.485224485397
0.823,148,6710.005428314209
0.823,149,6756.296542882919
0.823,150,6799.102018356323
0.823,151,6843.45737862587
0.823,152,6890.286076307297
0.823,153,6932.085196018219
0.823,154,6977.091020345688
0.823,155,7023.89887714386
0.823,156,7066.239114284515
0.823,157,7110.2546479702
0.823,158,7153.843081712723
0.823,159,7201.718677043915
0.823,160,7245.658185243607
0.823,161,7290.111886262894
0.823,162,7336.347519636154
0.823,163,7382.146045207977
0.823,164,7427.887836456299
0.823,165,7473.951929092407
0.823,166,7520.075781345367
0.823,167,7565.666637420654
0.823,168,7611.701785087585
0.823,169,7656.08620262146
0.823,170,7702.579614400864
0.823,171,7748.59023141861
0.823,172,7793.600275754929
0.823,173,7836.343858718872
0.823,174,7881.977951049805
0.823,175,7927.9066705703735
0.823,176,7973.654490232468
0.823,177,8017.3170511722565
0.823,178,8063.687689065933
0.823,179,8109.4773235321045
0.823,180,8152.520872116089
0.823,181,8198.040622711182
0.823,182,8242.86840581894
0.823,183,8286.753308534622
0.823,184,8329.381870508194
0.823,185,8377.278118371964
0.823,186,8423.531656980515
0.823,187,8469.27687215805
0.823,188,8512.719228744507
0.823,189,8558.856102705002
0.823,190,8604.941937446594
0.823,191,8649.586095571518
0.823,192,8695.254181146622
0.823,193,8740.16555428505
0.823,194,8786.38761472702
0.823,195,8830.603441476822
0.823,196,8876.754550218582
0.823,197,8918.897066831589
0.823,198,8962.91573381424
0.823,199,9007.438225746155
0.823,200,9051.803973674774
0.823,201,9096.43107509613
0.823,202,9140.644641637802
0.823,203,9184.795078516006
0.823,204,9230.838748931885
0.823,205,9275.116213798523
0.823,206,9319.371641159058
0.823,207,9361.348332881927
0.823,208,9408.152871608734
0.823,209,9452.54226565361
0.823,210,9496.210582017899
0.823,211,9542.709482192993
0.823,212,9587.999082326889
0.823,213,9631.231322288513
0.823,214,9675.224816083908
0.823,215,9718.701085090637
0.823,216,9763.920539140701
0.823,217,9807.636589765549
0.823,218,9852.479044437408
0.823,219,9898.702604293823
0.823,220,9944.67396235466
0.823,221,9988.017129182816
0.823,222,10033.00162243843
0.823,223,10077.600566625595
0.823,224,10123.00841164589
0.823,225,10166.88135433197
0.823,226,10210.678422689438
0.823,227,10255.616675138474
0.823,228,10300.56040930748
0.823,229,10347.320542812347
0.823,230,10393.475646018982
0.823,231,10438.545488834381
0.823,232,10482.193321943283
0.823,233,10526.370685100555
0.823,234,10570.212128162384
0.823,235,10614.504852056503
0.823,236,10658.46126484871
0.823,237,10703.997983455658
0.823,238,10748.238543987274
0.823,239,10794.349569320679
0.823,240,10839.669305324554
0.823,241,10884.786769151688
0.823,242,10928.832137584686
0.823,243,10973.28262257576
0.823,244,11017.851909399033
0.823,245,11061.260577201843
0.823,246,11105.978355646133
0.823,247,11151.97737956047
0.823,248,11196.826635599136
0.823,249,11241.035176038742
0.823,250,11285.10828757286
0.823,251,11329.463463544846
0.823,252,11372.805747270584
0.823,253,11417.95710515976
0.823,254,11462.897594451904
0.823,255,11509.89546251297
0.823,256,11553.15799498558
0.823,257,11599.438183546066
0.823,258,11644.026586771011
0.823,259,11689.804083824158
0.823,260,11731.918827295303
0.823,261,11776.36859536171
0.823,262,11821.4643740654
0.823,263,11868.36837387085
0.823,264,11912.181409835815
0.823,265,11956.919135332108
0.823,266,12003.472884654999
0.823,267,12047.71935582161
0.823,268,12092.371477842331
0.823,269,12137.732813358307
0.823,270,12181.473263025284
0.823,271,12224.818463087082
0.823,272,12269.365209579468
0.823,273,12314.124494314194
0.823,274,12358.013815879822
0.823,275,12404.353086233139
0.823,276,12449.445708751678
0.823,277,12493.928879976273
0.823,278,12537.133262395859
0.823,279,12583.646255731583
0.823,280,12628.642001152039
0.823,281,12675.718762397766
0.823,282,12721.398070335388
0.823,283,12764.558863639832
0.823,284,12810.19397854805
0.823,285,12855.45705652237
0.823,286,12899.879929542542
0.823,287,12944.923066854477
0.823,288,12987.490557670593
0.823,289,13034.341464996338
0.823,290,13078.249283790588
0.823,291,13122.404401779175
0.823,292,13171.07059764862
