raw,rawselected,best,generations,runtime
[0.0],[0.0],0.847,1,31.689469814300537
[0.691],[0.691],0.847,2,48.78740620613098
[0.631],[0.631],0.847,3,63.99762487411499
[0.4926666666666666],[0.4926666666666666],0.847,4,79.75398468971252
[0.628],[0.628],0.847,5,93.11644792556763
[0.82],[0.82],0.8889999999999999,6,104.86273264884949
[0.20466666666666666],[0.20466666666666666],0.8889999999999999,7,120.86468768119812
[0.6789999999999999],[0.6789999999999999],0.8889999999999999,8,134.9841125011444
[0.36066666666666664],[0.36066666666666664],0.8889999999999999,9,148.85126781463623
[0.706],[0.706],0.8889999999999999,10,161.45515608787537
[0.5766666666666667],[0.5766666666666667],0.8889999999999999,11,176.31444334983826
[0.634],[0.634],0.8889999999999999,12,188.41923904418945
[0.3093333333333333],[0.3093333333333333],0.8889999999999999,13,203.51921796798706
[0.478],[0.478],0.8889999999999999,14,217.99715375900269
[0.25233333333333335],[0.25233333333333335],0.8889999999999999,15,234.9730749130249
[0.565],[0.565],0.8889999999999999,16,249.38491678237915
[0.26133333333333336],[0.26133333333333336],0.8889999999999999,17,265.20937848091125
[0.20133333333333334],[0.20133333333333334],0.8889999999999999,18,278.1306495666504
[0.5559999999999999],[0.5559999999999999],0.8889999999999999,19,291.5353229045868
[0.4746666666666666],[0.4746666666666666],0.8889999999999999,20,304.3066666126251
[0.418],[0.418],0.8889999999999999,21,318.970650434494
[0.22833333333333336],[0.22833333333333336],0.8889999999999999,22,331.95612239837646
[0.616],[0.616],0.8889999999999999,23,344.4071571826935
[0.49266666666666664],[0.49266666666666664],0.8889999999999999,24,360.816419839859
[0.37266666666666665],[0.37266666666666665],0.8889999999999999,25,374.982319355011
[0.5946666666666667],[0.5946666666666667],0.9009999999999999,26,388.0860378742218
[0.3306666666666666],[0.3306666666666666],0.9009999999999999,27,402.71693539619446
[0.4386666666666666],[0.4386666666666666],0.9009999999999999,28,417.90588665008545
[0.30033333333333334],[0.30033333333333334],0.9009999999999999,29,434.6712930202484
[0.10533333333333332],[0.10533333333333332],0.9009999999999999,30,448.05458092689514
[0.24333333333333332],[0.24333333333333332],0.9009999999999999,31,463.1823899745941
[0.30633333333333335],[0.30633333333333335],0.9009999999999999,32,478.38495898246765
[0.7210000000000001],[0.7210000000000001],0.9009999999999999,33,493.21802163124084
[0.4956666666666667],[0.4956666666666667],0.9009999999999999,34,505.5846381187439
[0.4896666666666667],[0.4896666666666667],0.9009999999999999,35,518.987078666687
[0.32766666666666666],[0.32766666666666666],0.9009999999999999,36,534.4830360412598
[0.39366666666666666],[0.39366666666666666],0.9009999999999999,37,550.1454107761383
[0.4656666666666666],[0.4656666666666666],0.9009999999999999,38,565.3459210395813
[0.862],[0.862],0.9009999999999999,39,581.0389289855957
[0.625],[0.625],0.9009999999999999,40,597.002858877182
[0.5706666666666667],[0.5706666666666667],0.9009999999999999,41,611.1351189613342
[0.6429999999999999],[0.6429999999999999],0.9009999999999999,42,624.6590442657471
[0.64],[0.64],0.9009999999999999,43,639.4354255199432
[0.5436666666666666],[0.5436666666666666],0.9009999999999999,44,653.8600578308105
[0.442],[0.442],0.9009999999999999,45,666.6038782596588
[0.08466666666666667],[0.08466666666666667],0.9009999999999999,46,683.3251178264618
[0.4656666666666666],[0.4656666666666666],0.9009999999999999,47,697.7476258277893
[0.418],[0.418],0.9009999999999999,48,710.4292850494385
[0.47766666666666663],[0.47766666666666663],0.9009999999999999,49,724.9611463546753
[0.5286666666666666],[0.5286666666666666],0.9009999999999999,50,738.7671346664429
[0.568],[0.568],0.9009999999999999,51,752.4768240451813
[0.5226666666666667],[0.5226666666666667],0.9009999999999999,52,765.9171915054321
[0.42366666666666664],[0.42366666666666664],0.9009999999999999,53,780.1022715568542
[0.6669999999999999],[0.6669999999999999],0.9009999999999999,54,794.4136798381805
[0.2946666666666667],[0.2946666666666667],0.9009999999999999,55,809.8951613903046
[0.2823333333333333],[0.2823333333333333],0.9009999999999999,56,825.5897872447968
[0.5376666666666666],[0.5376666666666666],0.9009999999999999,57,838.0083582401276
[0.4266666666666667],[0.4266666666666667],0.9009999999999999,58,852.033041715622
