raw,rawselected,best,generations,tabu_list_size,neighborhood_size,runtime
0.3096666666666667,0.3096666666666667,0.3096666666666667,1,7,20,0.9155189990997314
0.3756666666666666,0.3756666666666666,0.3756666666666666,2,7,20,23.907231092453003
0.5406666666666666,0.5406666666666666,0.5406666666666666,3,7,20,45.21573567390442
0.7000000000000001,0.7000000000000001,0.7000000000000001,4,7,20,66.94395446777344
0.7000000000000001,0.7000000000000001,0.7000000000000001,5,7,20,87.91856098175049
0.7000000000000001,0.7000000000000001,0.7000000000000001,6,7,20,109.29846358299255
0.7000000000000001,0.7000000000000001,0.7000000000000001,7,7,20,129.25750398635864
0.7000000000000001,0.7000000000000001,0.7000000000000001,8,7,20,154.656893491745
0.742,0.742,0.742,9,7,20,176.53443884849548
0.742,0.742,0.742,10,7,20,197.36000108718872
0.766,0.766,0.766,11,7,20,223.13846731185913
0.766,0.766,0.766,12,7,20,244.92122840881348
0.766,0.766,0.766,13,7,20,264.4358630180359
0.766,0.766,0.766,14,7,20,284.0919065475464
0.766,0.766,0.766,15,7,20,304.0148272514343
0.766,0.766,0.766,16,7,20,326.1647081375122
0.766,0.766,0.766,17,7,20,350.1118676662445
0.766,0.766,0.766,18,7,20,372.98179268836975
0.766,0.766,0.766,19,7,20,393.6700177192688
0.766,0.766,0.766,20,7,20,414.38391160964966
0.766,0.766,0.766,21,7,20,435.8318338394165
0.766,0.766,0.766,22,7,20,458.69483709335327
0.766,0.766,0.766,23,7,20,481.01594400405884
0.778,0.778,0.778,24,7,20,501.0498237609863
0.778,0.778,0.778,25,7,20,523.528234243393
0.778,0.778,0.778,26,7,20,542.9720995426178
0.778,0.778,0.778,27,7,20,563.8409652709961
0.778,0.778,0.778,28,7,20,586.2418298721313
0.778,0.778,0.778,29,7,20,606.5217046737671
0.778,0.778,0.778,30,7,20,626.8703207969666
0.778,0.778,0.778,31,7,20,648.114230632782
0.778,0.778,0.778,32,7,20,669.7318103313446
0.778,0.778,0.778,33,7,20,690.6840648651123
0.778,0.778,0.778,34,7,20,711.818615436554
0.778,0.778,0.778,35,7,20,733.1217081546783
0.778,0.778,0.778,36,7,20,753.216073513031
0.778,0.778,0.778,37,7,20,779.4285988807678
0.778,0.778,0.778,38,7,20,800.8255071640015
0.778,0.778,0.778,39,7,20,826.344824552536
0.778,0.778,0.778,40,7,20,848.0834176540375
0.778,0.778,0.778,41,7,20,870.8608484268188
0.778,0.778,0.778,42,7,20,892.0912609100342
0.778,0.778,0.778,43,7,20,913.4539890289307
0.778,0.778,0.778,44,7,20,936.0769681930542
0.778,0.778,0.778,45,7,20,958.9641380310059
0.778,0.778,0.778,46,7,20,979.1734342575073
0.778,0.778,0.778,47,7,20,999.3415694236755
0.778,0.778,0.778,48,7,20,1020.0268437862396
0.778,0.778,0.778,49,7,20,1042.7410175800323
0.778,0.778,0.778,50,7,20,1062.6437361240387
0.778,0.778,0.778,51,7,20,1085.3465323448181
0.778,0.778,0.778,52,7,20,1107.3503813743591
0.778,0.778,0.778,53,7,20,1129.369217634201
0.778,0.778,0.778,54,7,20,1150.5573754310608
0.778,0.778,0.778,55,7,20,1172.1479442119598
0.778,0.778,0.778,56,7,20,1192.4832491874695
0.8140000000000001,0.8140000000000001,0.8140000000000001,57,7,20,1213.2921364307404
0.8140000000000001,0.8140000000000001,0.8140000000000001,58,7,20,1235.0676100254059
0.8140000000000001,0.8140000000000001,0.8140000000000001,59,7,20,1254.2926015853882
0.8140000000000001,0.8140000000000001,0.8140000000000001,60,7,20,1274.766329050064
0.8140000000000001,0.8140000000000001,0.8140000000000001,61,7,20,1295.5147273540497
0.8140000000000001,0.8140000000000001,0.8140000000000001,62,7,20,1318.0976972579956
0.8140000000000001,0.8140000000000001,0.8140000000000001,63,7,20,1338.077094078064
0.8140000000000001,0.8140000000000001,0.8140000000000001,64,7,20,1358.3305184841156
0.8140000000000001,0.8140000000000001,0.8140000000000001,65,7,20,1380.243929386139
0.8140000000000001,0.8140000000000001,0.8140000000000001,66,7,20,1400.5805759429932
0.8140000000000001,0.8140000000000001,0.8140000000000001,67,7,20,1427.9854943752289
0.8140000000000001,0.8140000000000001,0.8140000000000001,68,7,20,1449.710245847702
0.8140000000000001,0.8140000000000001,0.8140000000000001,69,7,20,1472.71613073349
0.8140000000000001,0.8140000000000001,0.8140000000000001,70,7,20,1492.7505593299866
0.8140000000000001,0.8140000000000001,0.8140000000000001,71,7,20,1514.8613612651825
0.8140000000000001,0.8140000000000001,0.8140000000000001,72,7,20,1538.5571291446686
0.8140000000000001,0.8140000000000001,0.8140000000000001,73,7,20,1559.3223814964294
