raw,rawselected,best,generations,runtime
[13.0],[13.0],85.66666666666667,1,5.361376523971558
[15.0],[15.0],85.66666666666667,2,8.096626043319702
[21.333333333333332],[21.333333333333332],85.66666666666667,3,10.230739831924438
[11.333333333333334],[11.333333333333334],85.66666666666667,4,12.514859914779663
[9.333333333333334],[9.333333333333334],85.66666666666667,5,14.977758169174194
[24.666666666666668],[24.666666666666668],85.66666666666667,6,17.850147485733032
[14.333333333333334],[14.333333333333334],85.66666666666667,7,20.848161697387695
[15.0],[15.0],92.0,8,23.699015617370605
[9.333333333333334],[9.333333333333334],92.0,9,25.799519062042236
[11.0],[11.0],173.33333333333334,10,29.242193937301636
[15.0],[15.0],173.33333333333334,11,31.87130308151245
[175.66666666666666],[175.66666666666666],175.66666666666666,12,34.84274363517761
[9.333333333333334],[9.333333333333334],175.66666666666666,13,36.93518304824829
[14.333333333333334],[14.333333333333334],175.66666666666666,14,39.12440848350525
[11.333333333333334],[11.333333333333334],175.66666666666666,15,41.29583477973938
[23.333333333333332],[23.333333333333332],175.66666666666666,16,43.398207664489746
[50.666666666666664],[50.666666666666664],175.66666666666666,17,46.165565967559814
[11.0],[11.0],175.66666666666666,18,48.330177783966064
[32.333333333333336],[32.333333333333336],175.66666666666666,19,50.89397311210632
[10.333333333333334],[10.333333333333334],175.66666666666666,20,53.47557997703552
[11.333333333333334],[11.333333333333334],175.66666666666666,21,56.455708265304565
[9.0],[9.0],175.66666666666666,22,58.969791889190674
[14.0],[14.0],175.66666666666666,23,62.04550576210022
[12.333333333333334],[12.333333333333334],175.66666666666666,24,64.617600440979
[19.666666666666668],[19.666666666666668],175.66666666666666,25,67.23857569694519
[46.333333333333336],[46.333333333333336],175.66666666666666,26,69.87662291526794
[9.333333333333334],[9.333333333333334],175.66666666666666,27,72.19606137275696
[12.333333333333334],[12.333333333333334],189.0,28,76.32496452331543
[15.0],[15.0],189.0,29,79.01086807250977
[23.333333333333332],[23.333333333333332],189.0,30,81.58202838897705
[14.0],[14.0],189.0,31,83.82112002372742
[11.0],[11.0],189.0,32,86.56264996528625
[40.0],[40.0],189.0,33,89.10791802406311
[14.333333333333334],[14.333333333333334],189.0,34,91.41495943069458
[40.0],[40.0],189.0,35,93.5051052570343
[26.333333333333332],[26.333333333333332],189.0,36,96.07356834411621
[14.0],[14.0],189.0,37,98.70201587677002
[13.333333333333334],[13.333333333333334],189.0,38,101.30774068832397
[9.333333333333334],[9.333333333333334],189.0,39,103.86497855186462
[23.333333333333332],[23.333333333333332],189.0,40,106.62121891975403
[9.666666666666666],[9.666666666666666],189.0,41,109.18218612670898
[13.333333333333334],[13.333333333333334],189.0,42,111.83037424087524
[36.0],[36.0],189.0,43,114.36975336074829
[9.666666666666666],[9.666666666666666],189.0,44,117.030282497406
[57.333333333333336],[57.333333333333336],189.0,45,119.52787566184998
[19.666666666666668],[19.666666666666668],189.0,46,121.71863007545471
[13.333333333333334],[13.333333333333334],189.0,47,124.79258036613464
[15.333333333333334],[15.333333333333334],189.0,48,127.61917209625244
[17.666666666666668],[17.666666666666668],189.0,49,130.66189455986023
[23.0],[23.0],189.0,50,134.26935744285583
[23.0],[23.0],189.0,51,137.36733484268188
[15.0],[15.0],189.0,52,139.79564356803894
[43.0],[43.0],189.0,53,142.32503700256348
[16.666666666666668],[16.666666666666668],189.0,54,146.31193900108337
[9.333333333333334],[9.333333333333334],189.0,55,149.06925249099731
[24.666666666666668],[24.666666666666668],189.0,56,151.41630268096924
[11.666666666666666],[11.666666666666666],189.0,57,154.160875082016
[11.0],[11.0],189.0,58,157.35309553146362
[12.0],[12.0],346.6666666666667,59,162.87739634513855
[20.333333333333332],[20.333333333333332],346.6666666666667,60,166.44767498970032
